Region,Date,Cases
KEPULAUAN RIAU,Oct-09,233
LAMPUNG,Oct-09,35
MALUKU,Oct-09,0
MALUKU UTARA,Oct-09,24
NUSA TENGGARA BARAT,Oct-09,27
NUSA TENGGARA TIMUR,Oct-09,24
PAPUA,Oct-09,0
PAPUA BARAT,Oct-09,30
RIAU,Oct-09,185
SULAWESI BARAT,Oct-09,0
SULAWESI SELATA,Oct-09,135
SULAWESI TENGAH,Oct-09,64
SULAWESI TENGGARA,Oct-09,20
SULAWESI UTARA,Oct-09,96
SUMATERA BARAT,Oct-09,185
SUMATERA SELATA,Oct-09,73
SUMATERA UTARA,Oct-09,425
,,
ACEH,Sep-09,96
BABEL,Sep-09,13
BALI,Sep-09,158
BANTEN,Sep-09,221
BENGKULU,Sep-09,4
D.I YOGYA,Sep-09,127
DKI JAKARTA,Sep-09,679
GORONTALO,Sep-09,0
JAMBI,Sep-09,23
JAWA BARAT,Sep-09,"1,398"
JAWA TENGAH,Sep-09,944
JAWA TIMUR,Sep-09,719
KALIMANTAN BARAT,Sep-09,"1,444"
KALIMANTAN SELATA,Sep-09,20
KALIMANTAN TENGAH,Sep-09,83
KALIMANTAN TIMUR,Sep-09,341
KEPULAUAN RIAU,Sep-09,135
LAMPUNG,Sep-09,36
MALUKU,Sep-09,0
MALUKU UTARA,Sep-09,53
NUSA TENGGARA BARAT,Sep-09,4
NUSA TENGGARA TIMUR,Sep-09,11
PAPUA,Sep-09,0
PAPUA BARAT,Sep-09,34
RIAU,Sep-09,101
SULAWESI BARAT,Sep-09,12
SULAWESI SELATA,Sep-09,157
SULAWESI TENGAH,Sep-09,52
SULAWESI TENGGARA,Sep-09,18
SULAWESI UTARA,Sep-09,100
SUMATERA BARAT,Sep-09,216
SUMATERA SELATA,Sep-09,91
SUMATERA UTARA,Sep-09,308
,,
ACEH,Aug-09,172
BABEL,Aug-09,20
BALI,Aug-09,287
BANTEN,Aug-09,272
BENGKULU,Aug-09,20
D.I YOGYA,Aug-09,173
DKI JAKARTA,Aug-09,"1,384"
GORONTALO,Aug-09,5
JAMBI,Aug-09,11
JAWA BARAT,Aug-09,"2,181"
JAWA TENGAH,Aug-09,"1,300"
JAWA TIMUR,Aug-09,"1,021"
KALIMANTAN BARAT,Aug-09,967
KALIMANTAN SELATA,Aug-09,19
KALIMANTAN TENGAH,Aug-09,77
KALIMANTAN TIMUR,Aug-09,254
KEPULAUAN RIAU,Aug-09,139
LAMPUNG,Aug-09,24
MALUKU,Aug-09,0
MALUKU UTARA,Aug-09,46
NUSA TENGGARA BARAT,Aug-09,35
NUSA TENGGARA TIMUR,Aug-09,15
PAPUA,Aug-09,5
PAPUA BARAT,Aug-09,0
RIAU,Aug-09,81
SULAWESI BARAT,Aug-09,6
SULAWESI SELATA,Aug-09,261
SULAWESI TENGAH,Aug-09,58
SULAWESI TENGGARA,Aug-09,39
SULAWESI UTARA,Aug-09,166
SUMATERA BARAT,Aug-09,223
SUMATERA SELATA,Aug-09,79
SUMATERA UTARA,Aug-09,486
,,
ACEH,Jul-09,95
BABEL,Jul-09,11
BALI,Jul-09,451
BANTEN,Jul-09,560
BENGKULU,Jul-09,8
D.I YOGYA,Jul-09,183
DKI JAKARTA,Jul-09,"2,710"
GORONTALO,Jul-09,10
JAMBI,Jul-09,10
JAWA BARAT,Jul-09,"2,836"
JAWA TENGAH,Jul-09,"1,756"
JAWA TIMUR,Jul-09,"1,469"
KALIMANTAN BARAT,Jul-09,"1,339"
KALIMANTAN SELATA,Jul-09,24
KALIMANTAN TENGAH,Jul-09,58
KALIMANTAN TIMUR,Jul-09,373
KEPULAUAN RIAU,Jul-09,216
LAMPUNG,Jul-09,50
MALUKU,Jul-09,0
MALUKU UTARA,Jul-09,32
NUSA TENGGARA BARAT,Jul-09,34
NUSA TENGGARA TIMUR,Jul-09,27
PAPUA,Jul-09,14
PAPUA BARAT,Jul-09,0
RIAU,Jul-09,138
SULAWESI BARAT,Jul-09,16
SULAWESI SELATA,Jul-09,239
SULAWESI TENGAH,Jul-09,54
SULAWESI TENGGARA,Jul-09,29
SULAWESI UTARA,Jul-09,127
SUMATERA BARAT,Jul-09,211
SUMATERA SELATA,Jul-09,92
SUMATERA UTARA,Jul-09,531
,,
ACEH,Jun-09,105
BABEL,Jun-09,21
BALI,Jun-09,818
BANTEN,Jun-09,539
BENGKULU,Jun-09,36
D.I YOGYA,Jun-09,174
DKI JAKARTA,Jun-09,"2,988"
GORONTALO,Jun-09,8
JAMBI,Jun-09,17
JAWA BARAT,Jun-09,"3,600"
JAWA TENGAH,Jun-09,"1,519"
JAWA TIMUR,Jun-09,"1,478"
KALIMANTAN BARAT,Jun-09,665
KALIMANTAN SELATA,Jun-09,32
KALIMANTAN TENGAH,Jun-09,37
KALIMANTAN TIMUR,Jun-09,344
KEPULAUAN RIAU,Jun-09,112
LAMPUNG,Jun-09,69
MALUKU,Jun-09,0
MALUKU UTARA,Jun-09,54
NUSA TENGGARA BARAT,Jun-09,43
NUSA TENGGARA TIMUR,Jun-09,13
PAPUA,Jun-09,11
PAPUA BARAT,Jun-09,14
RIAU,Jun-09,59
SULAWESI BARAT,Jun-09,11
SULAWESI SELATA,Jun-09,241
SULAWESI TENGAH,Jun-09,96
SULAWESI TENGGARA,Jun-09,65
SULAWESI UTARA,Jun-09,112
SUMATERA BARAT,Jun-09,198
SUMATERA SELATA,Jun-09,94
SUMATERA UTARA,Jun-09,547
,,
ACEH,May-09,100
BABEL,May-09,27
BALI,May-09,"1,006"
BANTEN,May-09,631
BENGKULU,May-09,24
D.I YOGYA,May-09,175
DKI JAKARTA,May-09,"3,701"
GORONTALO,May-09,4
JAMBI,May-09,19
JAWA BARAT,May-09,"4,279"
JAWA TENGAH,May-09,"1,486"
