Region,Date,Cases
KALIMANTAN BARAT,Nov-14,991
KALIMANTAN SELATA,Nov-14,118
KALIMANTAN TENGAH,Nov-14,101
KALIMANTAN TIMUR,Nov-14,441
KALIMANTAN UTARA,Nov-14,70
KEPULAUAN RIAU,Nov-14,200
LAMPUNG,Nov-14,105
MALUKU,Nov-14,0
MALUKU UTARA,Nov-14,8
NUSA TENGGARA BARAT,Nov-14,25
NUSA TENGGARA TIMUR,Nov-14,1
PAPUA,Nov-14,14
PAPUA BARAT,Nov-14,0
RIAU,Nov-14,474
SULAWESI BARAT,Nov-14,23
SULAWESI SELATA,Nov-14,149
SULAWESI TENGAH,Nov-14,102
SULAWESI TENGGARA,Nov-14,17
SULAWESI UTARA,Nov-14,140
SUMATERA BARAT,Nov-14,265
SUMATERA SELATA,Nov-14,147
SUMATERA UTARA,Nov-14,595
,,
ACEH,Oct-14,351
BABEL,Oct-14,29
BALI,Oct-14,347
BANTEN,Oct-14,160
BENGKULU,Oct-14,50
D.I YOGYA,Oct-14,122
DKI JAKARTA,Oct-14,224
GORONTALO,Oct-14,5
JAMBI,Oct-14,196
JAWA BARAT,Oct-14,"1,057"
JAWA TENGAH,Oct-14,"1,067"
JAWA TIMUR,Oct-14,600
KALIMANTAN BARAT,Oct-14,971
KALIMANTAN SELATA,Oct-14,49
KALIMANTAN TENGAH,Oct-14,62
KALIMANTAN TIMUR,Oct-14,386
KALIMANTAN UTARA,Oct-14,80
KEPULAUAN RIAU,Oct-14,235
LAMPUNG,Oct-14,102
MALUKU,Oct-14,0
MALUKU UTARA,Oct-14,5
NUSA TENGGARA BARAT,Oct-14,15
NUSA TENGGARA TIMUR,Oct-14,0
PAPUA,Oct-14,46
PAPUA BARAT,Oct-14,1
RIAU,Oct-14,360
SULAWESI BARAT,Oct-14,32
SULAWESI SELATA,Oct-14,167
SULAWESI TENGAH,Oct-14,97
SULAWESI TENGGARA,Oct-14,20
SULAWESI UTARA,Oct-14,77
SUMATERA BARAT,Oct-14,285
SUMATERA SELATA,Oct-14,113
SUMATERA UTARA,Oct-14,838
,,
ACEH,Sep-14,208
BABEL,Sep-14,32
BALI,Sep-14,410
BANTEN,Sep-14,248
BENGKULU,Sep-14,30
D.I YOGYA,Sep-14,144
DKI JAKARTA,Sep-14,357
GORONTALO,Sep-14,19
JAMBI,Sep-14,224
JAWA BARAT,Sep-14,"1,339"
JAWA TENGAH,Sep-14,791
JAWA TIMUR,Sep-14,551
KALIMANTAN BARAT,Sep-14,509
KALIMANTAN SELATA,Sep-14,33
KALIMANTAN TENGAH,Sep-14,51
KALIMANTAN TIMUR,Sep-14,367
KALIMANTAN UTARA,Sep-14,71
KEPULAUAN RIAU,Sep-14,264
LAMPUNG,Sep-14,151
MALUKU,Sep-14,1
MALUKU UTARA,Sep-14,17
NUSA TENGGARA BARAT,Sep-14,15
NUSA TENGGARA TIMUR,Sep-14,0
PAPUA,Sep-14,59
PAPUA BARAT,Sep-14,1
RIAU,Sep-14,234
SULAWESI BARAT,Sep-14,25
SULAWESI SELATA,Sep-14,114
SULAWESI TENGAH,Sep-14,85
SULAWESI TENGGARA,Sep-14,19
SULAWESI UTARA,Sep-14,64
SUMATERA BARAT,Sep-14,277
SUMATERA SELATA,Sep-14,111
SUMATERA UTARA,Sep-14,813
,,
ACEH,Aug-14,179
BABEL,Aug-14,10
BALI,Aug-14,545
BANTEN,Aug-14,252
BENGKULU,Aug-14,20
D.I YOGYA,Aug-14,156
DKI JAKARTA,Aug-14,576
GORONTALO,Aug-14,9
JAMBI,Aug-14,164
JAWA BARAT,Aug-14,"1,584"
JAWA TENGAH,Aug-14,843
JAWA TIMUR,Aug-14,640
KALIMANTAN BARAT,Aug-14,360
KALIMANTAN SELATA,Aug-14,35
KALIMANTAN TENGAH,Aug-14,46
KALIMANTAN TIMUR,Aug-14,359
KALIMANTAN UTARA,Aug-14,67
KEPULAUAN RIAU,Aug-14,163
LAMPUNG,Aug-14,75
MALUKU,Aug-14,2
MALUKU UTARA,Aug-14,8
NUSA TENGGARA BARAT,Aug-14,28
NUSA TENGGARA TIMUR,Aug-14,0
PAPUA,Aug-14,67
PAPUA BARAT,Aug-14,12
RIAU,Aug-14,174
SULAWESI BARAT,Aug-14,18
SULAWESI SELATA,Aug-14,208
SULAWESI TENGAH,Aug-14,96
SULAWESI TENGGARA,Aug-14,57
SULAWESI UTARA,Aug-14,87
SUMATERA BARAT,Aug-14,159
SUMATERA SELATA,Aug-14,126
SUMATERA UTARA,Aug-14,479
,,
ACEH,Jul-14,143
BABEL,Jul-14,10
BALI,Jul-14,689
BANTEN,Jul-14,234
BENGKULU,Jul-14,34
D.I YOGYA,Jul-14,130
DKI JAKARTA,Jul-14,578
GORONTALO,Jul-14,9
JAMBI,Jul-14,82
JAWA BARAT,Jul-14,"1,472"
JAWA TENGAH,Jul-14,893
JAWA TIMUR,Jul-14,569
KALIMANTAN BARAT,Jul-14,385
KALIMANTAN SELATA,Jul-14,20
KALIMANTAN TENGAH,Jul-14,34
KALIMANTAN TIMUR,Jul-14,290
KALIMANTAN UTARA,Jul-14,70
KEPULAUAN RIAU,Jul-14,223
LAMPUNG,Jul-14,86
MALUKU,Jul-14,0
MALUKU UTARA,Jul-14,19
NUSA TENGGARA BARAT,Jul-14,45
NUSA TENGGARA TIMUR,Jul-14,0
PAPUA,Jul-14,54
PAPUA BARAT,Jul-14,27
RIAU,Jul-14,136
SULAWESI BARAT,Jul-14,12
SULAWESI SELATA,Jul-14,236
SULAWESI TENGAH,Jul-14,47
SULAWESI TENGGARA,Jul-14,53
SULAWESI UTARA,Jul-14,113
SUMATERA BARAT,Jul-14,165
SUMATERA SELATA,Jul-14,127
SUMATERA UTARA,Jul-14,375
,,
ACEH,Jun-14,143
BABEL,Jun-14,20
BALI,Jun-14,985
BANTEN,Jun-14,261
BENGKULU,Jun-14,28
D.I YOGYA,Jun-14,164
DKI JAKARTA,Jun-14,617
GORONTALO,Jun-14,11
JAMBI,Jun-14,57
JAWA BARAT,Jun-14,"1,799"
JAWA TENGAH,Jun-14,760
JAWA TIMUR,Jun-14,784
KALIMANTAN BARAT,Jun-14,308
KALIMANTAN SELATA,Jun-14,27
KALIMANTAN TENGAH,Jun-14,73
KALIMANTAN TIMUR,Jun-14,391
KALIMANTAN UTARA,Jun-14,92
KEPULAUAN RIAU,Jun-14,216
LAMPUNG,Jun-14,89
MALUKU,Jun-14,0
MALUKU UTARA,Jun-14,13
NUSA TENGGARA BARAT,Jun-14,68
NUSA TENGGARA TIMUR,Jun-14,6
PAPUA,Jun-14,17
PAPUA BARAT,Jun-14,0
RIAU,Jun-14,176
SULAWESI BARAT,Jun-14,20
SULAWESI SELATA,Jun-14,312
SULAWESI TENGAH,Jun-14,70
SULAWESI TENGGARA,Jun-14,77
SULAWESI UTARA,Jun-14,103
SUMATERA BARAT,Jun-14,183
SUMATERA SELATA,Jun-14,110
SUMATERA UTARA,Jun-14,373
,,
ACEH,May-14,145
BABEL,May-14,19
BALI,May-14,"1,019"
BANTEN,May-14,306
BENGKULU,May-14,26
D.I YOGYA,May-14,219
DKI JAKARTA,May-14,"1,059"
GORONTALO,May-14,13
JAMBI,May-14,33
JAWA BARAT,May-14,"2,047"
JAWA TENGAH,May-14,843
JAWA TIMUR,May-14,855
KALIMANTAN BARAT,May-14,228
KALIMANTAN SELATA,May-14,31
KALIMANTAN TENGAH,May-14,54
KALIMANTAN TIMUR,May-14,408
KALIMANTAN UTARA,May-14,72
KEPULAUAN RIAU,May-14,125
LAMPUNG,May-14,45
MALUKU,May-14,1
MALUKU UTARA,May-14,14
NUSA TENGGARA BARAT,May-14,78
NUSA TENGGARA TIMUR,May-14,1
PAPUA,May-14,22
PAPUA BARAT,May-14,0
RIAU,May-14,112
SULAWESI BARAT,May-14,23
