Region,Date,Cases
SUMATERA BARAT,Mar-2019,213
SUMATERA SELATA,Mar-2019,376
SUMATERA UTARA,Mar-2019,630
,,
ACEH,Feb-2019,267
BABEL,Feb-2019,114
BALI,Feb-2019,713
BANTEN,Feb-2019,550
BENGKULU,Feb-2019,207
D.I YOGYA,Feb-2019,365
DKI JAKARTA,Feb-2019,"1,567"
GORONTALO,Feb-2019,317
JAMBI,Feb-2019,278
JAWA BARAT,Feb-2019,"3,895"
JAWA TENGAH,Feb-2019,"1,510"
JAWA TIMUR,Feb-2019,"4,311"
KALIMANTAN BARAT,Feb-2019,327
KALIMANTAN SELATA,Feb-2019,639
KALIMANTAN TENGAH,Feb-2019,312
KALIMANTAN TIMUR,Feb-2019,"1,180"
KALIMANTAN UTARA,Feb-2019,222
KEPULAUAN RIAU,Feb-2019,207
LAMPUNG,Feb-2019,"1,137"
MALUKU,Feb-2019,71
MALUKU UTARA,Feb-2019,173
NUSA TENGGARA BARAT,Feb-2019,387
NUSA TENGGARA TIMUR,Feb-2019,"1,199"
PAPUA,Feb-2019,117
PAPUA BARAT,Feb-2019,48
RIAU,Feb-2019,241
SULAWESI BARAT,Feb-2019,106
SULAWESI SELATA,Feb-2019,727
SULAWESI TENGAH,Feb-2019,343
SULAWESI TENGGARA,Feb-2019,471
SULAWESI UTARA,Feb-2019,477
SUMATERA BARAT,Feb-2019,231
SUMATERA SELATA,Feb-2019,620
SUMATERA UTARA,Feb-2019,688
,,
ACEH,Jan-2019,197
BABEL,Jan-2019,178
BALI,Jan-2019,347
BANTEN,Jan-2019,410
BENGKULU,Jan-2019,178
D.I YOGYA,Jan-2019,354
DKI JAKARTA,Jan-2019,989
GORONTALO,Jan-2019,421
JAMBI,Jan-2019,404
JAWA BARAT,Jan-2019,"4,505"
JAWA TENGAH,Jan-2019,"1,595"
JAWA TIMUR,Jan-2019,"5,590"
KALIMANTAN BARAT,Jan-2019,439
KALIMANTAN SELATA,Jan-2019,938
KALIMANTAN TENGAH,Jan-2019,536
KALIMANTAN TIMUR,Jan-2019,"1,544"
KALIMANTAN UTARA,Jan-2019,136
KEPULAUAN RIAU,Jan-2019,261
LAMPUNG,Jan-2019,"1,470"
MALUKU,Jan-2019,63
MALUKU UTARA,Jan-2019,171
NUSA TENGGARA BARAT,Jan-2019,293
NUSA TENGGARA TIMUR,Jan-2019,"1,500"
PAPUA,Jan-2019,122
PAPUA BARAT,Jan-2019,54
RIAU,Jan-2019,268
SULAWESI BARAT,Jan-2019,137
SULAWESI SELATA,Jan-2019,741
SULAWESI TENGAH,Jan-2019,340
SULAWESI TENGGARA,Jan-2019,316
SULAWESI UTARA,Jan-2019,"1,210"
SUMATERA BARAT,Jan-2019,216
SUMATERA SELATA,Jan-2019,687
SUMATERA UTARA,Jan-2019,834
,,
ACEH,Dec-2018,156
BABEL,Dec-2018,88
BALI,Dec-2018,78
BANTEN,Dec-2018,55
BENGKULU,Dec-2018,113
D.I YOGYA,Dec-2018,41
DKI JAKARTA,Dec-2018,280
GORONTALO,Dec-2018,73
JAMBI,Dec-2018,48
JAWA BARAT,Dec-2018,403
JAWA TENGAH,Dec-2018,379
JAWA TIMUR,Dec-2018,528
KALIMANTAN BARAT,Dec-2018,387
KALIMANTAN SELATA,Dec-2018,707
